name,externalID,description
group_1,spec_group_001,spec group 1
group_2,spec_group_002,spec group 2
group_3,spec_group_003,spec group 3
group_4,spec_group_004,spec group 4
group_5,spec_group_005,spec group 5
group_6,spec_group_006,spec group 6
group_7,spec_group_007,spec group 7
group_8,spec_group_008,spec group 8
group_9,spec_group_009,spec group 9
asset_group_1,asset_group_001,asset group 1
asset_group_2,asset_group_002,asset group 2
asset_group_3,asset_group_003,asset group 3
asset_group_4,asset_group_004,asset group 4
asset_group_5,asset_group_005,asset group 5
asset_group_6,asset_group_006,asset group 6
asset_group_7,asset_group_007,asset group 7
asset_group_8,asset_group_008,asset group 8
asset_group_9,asset_group_009,asset group 9
customer_group_1,customer_group_001,customer group 1
customer_group_2,customer_group_002,customer group 2
customer_group_3,customer_group_003,customer group 3
customer_group_4,customer_group_004,customer group 4
customer_group_5,customer_group_005,customer group 5
customer_group_6,customer_group_006,customer group 6
customer_group_7,customer_group_007,customer group 7
customer_group_8,customer_group_008,customer group 8
customer_group_9,customer_group_009,customer group 9
location_group_1,location_group_001,location group 1
location_group_2,location_group_002,location group 2
location_group_3,location_group_003,location group 3
location_group_4,location_group_004,location group 4
location_group_5,location_group_005,location group 5
location_group_6,location_group_006,location group 6
location_group_7,location_group_007,location group 7
location_group_8,location_group_008,location group 8
location_group_9,location_group_009,location group 9
network_group_1,network_group_001,network group 1
network_group_2,network_group_002,network group 2
network_group_3,network_group_003,network group 3
network_group_4,network_group_004,network group 4
network_group_5,network_group_005,network group 5
network_group_6,network_group_006,network group 6
network_group_7,network_group_007,network group 7
network_group_8,network_group_008,network group 8
network_group_9,network_group_009,network group 9
zone_group_1,zone_group_001,zone group 1
zone_group_2,zone_group_002,zone group 2
zone_group_3,zone_group_003,zone group 3
zone_group_4,zone_group_004,zone group 4
zone_group_5,zone_group_005,zone group 5
zone_group_6,zone_group_006,zone group 6
zone_group_7,zone_group_007,zone group 7
zone_group_8,zone_group_008,zone group 8
zone_group_9,zone_group_009,zone group 9